
1987-88 NBA Salaries

[From the Detroit Free Press with thanks to Michael Siewenie for sending 
me the players' salaries info]

Team Payrolls
    Team                      Payroll 
 1. Boston Celtics          $9,283,833
 2. Los Angeles Lakers      $9,107,250
 3. New York Knicks         $7,458,766
 4. Houston Rockets         $7,015,666
 5. Milwaukee Bucks         $6,622,834
 6. Atlanta Hawks           $6,584,200
 7. New Jersey Nets         $6,372,516
 8. Washington Bullets      $6,342,500
 9. Philadelphia 76ers      $6,197,183
10. Los Angeles Clippers    $6,110,708
11. Detroit Pistons         $5,905,500
12. Denver Nuggets          $5,897,791
13. Utah Jazz               $5,780,000
14. Sacramento Kings        $5,776,000
15. Phoenix Suns            $5,202,100
16. Portland Trailblazers   $5,190,386
17. Golden State Warriors   $5,147,700
18. Seattle Supersonics     $5,096,000
19. Chicago Bulls           $5,014,330
20. Indiana Pacers          $4,997,493
21. San Antonio Spurs       $4,898,500
22. Dallas Mavericks        $4,855,536
23. Cleveland Cavaliers     $4,282,115


  0 players will earn $3 million or more
  5 players will earn $2 to 3 million
 21 players will earn $1 to 2 million
The league minimum was $75,000
Average: $459,204  [303 players]
 

Top 25 players
 1. Patrick Ewing (NY)         $2,750,000
 2. Magic Johnson (LAL)        $2,500,000
 3. Moses Malone (Was)         $2,067,000
 4. Robert Parish (Bos)        $2,038,333
 5. Kareem Abdul-Jabbar (LAL)  $2,000,000
 6. Larry Bird (Bos)           $1,800,000
 7. Ralph Sampson (GS)         $1,735,000
 8. Jack Sikma (Mil)           $1,600,000
 9. Alex English (Den)         $1,500,000
10. Dominique Wilkins (Atl)    $1,460,000
11. Akeem Olajuwon (Hou)       $1,452,666
12. Terry Cummings (Mil)       $1,330,000
13. Joe Barry Carroll (Hou)    $1,325,000
14. Buck Williams (NJ)         $1,315,000
15. Kevin McHale (Bos)         $1,300,000
16. Orlando Woolridge (NJ)     $1,200,000
17. Bill Cartwright (NY)       $1,135,000
18. Tree Rollins (Atl)         $1,117,000
19. James Worthy (LAL)         $1,100,000
20. Benoit Benjamin (LAC)      $1,082,000
21. Sam Bowie (Por)            $1,055,000
22. David Robinson (SA)        $1,046,000
23. Maurice Cheeks (Phi)       $1,000,000
23. Bernard King (Was)         $1,000,000
23. Wayman Tisdale (Ind)       $1,000,000
23. Mel Turpin (Uta)           $1,000,000


NBA SALARIES

Atlanta Hawks            Total: $6,584,200
Dominique Wilkins .............. 1,460,000
Tree Rollins ................... 1,117,000
Chris Washburn .................   777,200
Jon Koncak .....................   675,000
Doc Rivers .....................   450,000
Antoine Carr ...................   400,000
Kevin Willis ...................   395,000
Cliff Levingston ...............   350,000
Randy Wittman ..................   350,000
Spud Webb ......................   225,000
Scott Hastings .................   210,000
John Battie ....................   100,000
Leon Wood ......................    75,000

Boston Celtics           Total: $9,283,833
Robert Parish .................. 2,038,333
Larry Bird ..................... 1,800,000
Kevin McHale ................... 1,300,000
Jim Paxson .....................   875,000
Artis Gilmore ..................   863,000
Dennis Johnson .................   832,500
Danny Ainge ....................   625,000
Bill Walton ....................   425,000
Fred Roberts ...................   200,000
Dirk Minniefield ...............   100,000
Mark Acres .....................    75,000
Reggie Lewis ...................    75,000
Brad Lohaus ....................    75,000

Chicago Bulls            Total: $5,014,330
Michael Jordan .................   845,000
Scottie Pippen .................   725,000
Dave Corzine ...................   700,000
Horace Grant ...................   500,000
Charles Oakley .................   465,000
Sam Vincent ....................   392,500
Brad Sellers ...................   381,830
Rory Sparrow ...................   325,000
John Paxson ....................   285,000
Mike Brown .....................   220,000
Granville Waiters ..............   100,000
Elston Turner ..................    75,000

Cleveland Cavaliers      Total: $4,282,115
Brad Daugherty .................   887,500
Larry Nance ....................   625,000
Ron Harper .....................   555,500
Phil Hubbard ...................   450,060
Kent Benson ....................   350,000
John Williams ..................   349,055
Dell Curry .....................   250,000
Mike Sanders ...................   240,000
Craig Ehlo .....................   175,000
Mark Price .....................   175,000
Chris Dudley ...................    75,000
Johnny Rogers ..................    75,000
Kevin Henderson ................    75,000

Dallas Mavericks         Total: $4,855,536
Sam Perkins ....................   755,000
Mark Aguirre ...................   715,700
Rolando Blackman ...............   541,736
James Donaldson ................   500,000
Derek Harper ...................   475,000
Roy Tarpley ....................   460,000
Detlef Schrempf ................   390,000
Uwe Blab .......................   260,000
Brad Davis .....................   243,100
Bill Wennington ................   240,000
Jim Farmer .....................   175,000
Steve Alford ...................   100,000

Denver Nuggets           Total: $5,897,791
Alex English ................... 1,500,000
Calvin Natt ....................   808,000
Wayne Cooper ...................   650,000
Fat Lever ......................   457,500
Danny Schayes ..................   425,000
Jay Vincent ....................   415,625
Bill Hanzlik ...................   366,666
T.R. Dunn ......................   350,000
Blair Rasmussen ................   300,000
Maurice Martin .................   225,000
Mike Evans .....................   165,000
Michael Adams ..................   160,000
Michael Brooks .................    75,000

Detroit Pistons          Total: $5,905,500
Adrian Dantley .................   950,000
Isiah Thomas ...................   750,000
William Bedford ................   637,500
Vinnie Johnson .................   633,000
Bill Laimbeer ..................   630,000
James Edwards ..................   600,000
Rick Mahorn ....................   575,000
Joe Dumars .....................   400,000
John Salley ....................   335,000
Chuck Nevitt ...................   160,000
Dennis Rodman ..................   160,000
Ralph Lewis ....................    75,000

Golden State Warriors    Total: $5,147,700
